ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5629  Passed   Completed                                                0          3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:40.444323 +0000 UTC  1
5630  High     Completed  CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:L  7.3        3             []     []                                  [CWE_926]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:40.540389 +0000 UTC  2
5631  High     Completed  CVSS:3.0/AV:L/AC:H/PR:N/UI:R/S:C/C:H/I:H/A:H  7.7        3             []     []                                  [CWE_489]                  [MSTG_7_2]                    []                               [MASVS_7_4]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:40.62856 +0000 UTC   3
5632  Passed   Completed                                                0          3             []     []                                  [CWE_250]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:40.704105 +0000 UTC  4
5633  Passed   Completed                                                0          3             []     []                                  [CWE_296]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:41.813176 +0000 UTC  5
5634  Passed   Completed                                                0          3             []     []                                  [CWE_296]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:43.35507 +0000 UTC   6
5635  Passed   Completed                                                0          3             []     []                                  [CWE_296]                  [MSTG_3_2 MSTG_3_3 MSTG_3_3]  []                               [MASVS_2_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:44.475363 +0000 UTC  7
5636  Passed   Completed                                                0          3             []     []                                  [CWE_297]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:46.247012 +0000 UTC  8
5637  Passed   Completed                                                0          3             []     []                                  [CWE_749]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:47.737805 +0000 UTC  9
5638  Low      Completed  CVSS:3.0/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N  2.3        3             []     []                                  [CWE_250]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:53.529234 +0000 UTC  10
5639  Passed   Completed                                                0          3             []     []                                  [CWE_749]                  [MSTG_6_7]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:53.645527 +0000 UTC  11
5640  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_922]                  [MSTG_2_1]                    []                               [MASVS_1_1]            [M6_2024 M9_2024]  []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.523201 +0000 UTC  14
5641  Passed   Completed                                                0          3             []     []                                  [CWE_319]                  [MSTG_5_1]                    []                               [MASVS_5_1]            []                 []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:53.872393 +0000 UTC  15
5642  High     Completed  CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:L  8.6        3             []     []                                  [CWE_327]                  [MSTG_3_2 MSTG_3_3 MSTG_3_4]  []                               [MASVS_1_1 MASVS_2_2]  [M10_2024]         []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:53.986367 +0000 UTC  16
5643  Medium   Completed  CVSS:3.0/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N  6.2        3             []     []                                  [CWE_779]                  [MSTG_2_3]                    []                               [MASVS_1_2]            [M6_2024 M9_2024]  []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:54.429674 +0000 UTC  17
5644  Unknown  Waiting                                                  -1         3             []     [ASVS_1_11_2 ASVS_1_11_3]           [CWE_840]                  []                            [API6_2023]                      []                     []                 []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:20.614478 +0000 UTC  18
5645  Unknown  Running                                                  -1         3             []     []                                  [CWE_749]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M2_2024 M4_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:54.512366 +0000 UTC  29
5646  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_601]                  [MSTG_7_5]                    []                               [MASVS_4_3]            [M2_2024 M8_2024]  []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.663239 +0000 UTC  30
5648  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_601]                  [MSTG_7_5]                    []                               [MASVS_4_3]            [M2_2024 M8_2024]  []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.704294 +0000 UTC  31
5649  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_185]                  [MSTG_7_5]                    []                               [MASVS_4_3]            [M2_2024 M8_2024]  []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.72468 +0000 UTC   32
5650  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_185]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M2_2024 M8_2024]  []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.74511 +0000 UTC   33
5651  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_20]                   [MSTG_7_5]                    []                               [MASVS_4_3]            [M2_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:20.769997 +0000 UTC  34
5652  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_779 CWE_532]          [MSTG_2_3]                    []                               [MASVS_1_2]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:20.800184 +0000 UTC  35
5653  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_185]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M2_2024 M5_2024]  []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.840984 +0000 UTC  36
5647  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_16]                   [MSTG_7_5]                    []                               [MASVS_4_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:20.684367 +0000 UTC  37
5654  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.875429 +0000 UTC  38
5655  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.902116 +0000 UTC  39
5656  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.927241 +0000 UTC  40
5657  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.949684 +0000 UTC  41
5658  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.971708 +0000 UTC  42
5659  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:20.995734 +0000 UTC  43
5660  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:21.019371 +0000 UTC  44
5661  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:21.039788 +0000 UTC  45
5662  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_23]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:21.060298 +0000 UTC  46
