Project ID,Application Name,Application Namespace,Platform,Version,Version Code,File ID,Test Case,Scan Type,Severity,Risk Override,CVSS Score,Findings,Description,Noncompliant Code Example,Compliant Solution,Business Implication,OWASP,OWASP Mobile Top 10 (2024),CWE,MSTG,OWASP MASVS (v2),OWASP API 2023,ASVS,PCI-DSS,GDPR,NIST SP 800-53,NIST SP 800-171,SAMA,PCI-DSS (v4.0),Created On
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Network Security Misconfiguration,Static,Critical,,9.1,"Android manifest's application tag doesn't have`cleartextTrafficPermitted`
attribute set. The default value of this attribute is `true` for API level
23-27 if network security config is absent. This is a vulnerability since it
allows HTTP traffic.","This technique allows the user to secure the communication in the application
by specifying proper values to the flags which are present in the network
security configuration file. If implemented correctly it can help in securing
the application by communicating only on secure protocols like HTTPS. It can
also be used to implement certificate pinning by using the SHA-256 hashes of
the public certificate.","If you have set the base configuration or domain configuration with
cleartextTrafficPermitted to True then it is a problem. If the `src` is set to
`""user""` then, a user can install his own certificate in the device and the
app will use that instead of the pinned certificate.

    
    
    <?xml version=""1.0"" encoding=""utf-8""?>
    <network-security-config>
        <base-config cleartextTrafficPermitted=""true"">
            <trust-anchors>
                <certificates src=""system"" />
                <certificates src=""user"" />
            </trust-anchors>
        </base-config>
    </network-security-config>
    

Adding a debug-overrides can expose your debug certificate which can be used
to perform MITM attack on your application.

    
    
    <?xml version=""1.0"" encoding=""utf-8""?>
    <network-security-config>
        <debug-overrides>
            <trust-anchors>
                <certificates src=""@raw/debug_cas""/>
            </trust-anchors>
        </debug-overrides>
    </network-security-config>
    ","The following is a good network security configuration:

    
    
    <?xml version=""1.0"" encoding=""utf-8""?>
    <network-security-config>
        <base-config cleartextTrafficPermitted=""false"">
            <trust-anchors>
                <certificates src=""...""/>
                ...
            </trust-anchors>
        </base-config>
    
        <domain-config cleartextTrafficPermitted=""false"">
            <domain>android.com</domain>
            ...
            <trust-anchors>
                <certificates src=""...""/>
                ...
            </trust-anchors>
            <pin-set>
                <pin digest=""..."">...</pin>
                ...
            </pin-set>
        </domain-config>
        ...
    </network-security-config>
    ","An attacker can gain sensitive information which can result in loss of
confidential data.",,"M5, M8",CWE-16,MSTG-NETWORK-1,MASVS-NETWORK-1,,,,"Art-25-GDPR, Art-32-GDPR",,,,"4.1, 4.2",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Improper Content Provider Permissions,Static,Critical,"The severity for this was changed from HIGH to CRITICAL by appknox on 14 Oct 2025. This override is applied via project preference


Reason: update",7.3,"
pathPrefix=/","A content provider permission was set to allow access from any other app on
the device. Content providers may contain sensitive information about an app
and therefore should not be shared.","MovatwiTouch, a Twitter client application, used a content provider to manage
Twitter's consumer key, consumer secret, and access token. However, the
content provider was made public, which enabled applications installed on
users' devices to access this sensitive information.

The following entry in the AndroidManifest.xml does not have the
`android:exported` attribute, which means, before API Level 16, the content
provider is made public:

    
    
    <provider
        android:name="".content.AccountProvider""
        android:authorities=""jp.co.vulnerable.accountprovider"" />
    ","The following entry in the AndroidManifest.xml file makes the content provider
private so that other apps cannot access the data:

    
    
    <provider
        android:name="".content.AccountProvider""
        android:exported=""false""
        android:authorities=""jp.co.vulnerable.accountprovider"" />
    ","If security controls are not properly implemented, content providers can lead
to client side attacks like SQL injection. This works similarly to traditional
SQL injection attacks.",,M8,CWE-926,MSTG-PLATFORM-1,MASVS-PLATFORM-1,,,,"Art-25-GDPR, Art-32-GDPR",,,,"3.2, 3.3, 3.4, 3.5",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Connection to External Redis Server,Static,High,,8.1,jedis: Redis library found,Android applications which use Redis to communicate are vulnerable,,"Remove Redis client completely. If any SDK uses this component, then please
remove the SDK itself","The database and associated data including user credentials may get
compromised.",,M8,CWE-16,MSTG-CODE-5,MASVS-CODE-3,,,,"Art-25-GDPR, Art-32-GDPR",,,,"1.1, 1.2, 1.3, 1.4",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Derived Crypto Keys,"Static, Dynamic",High,,8.6,"DES/ECB/ZeroBytePadding implemented at
Lcom/appknox/mfva/MainActivity$6;->onClick

DES/ECB/ZeroBytePadding implemented at
Lcom/appknox/mfva/ExportedActivity;->onCreate","Traces of Crypto Keys which might be intermediate keys used when loading the
different libraries.",,"The following are the rules which should be followed while using encryption:

  * If AES encryption is used, always pair it with CBC (Cipher Block Chaining)
  * Never use just AES as encryption because it defaults to AES/ECB (Electronic Codebook)
  * Always use padding with the encryption, for example, AES/CBC/PKCS7 is stronger than just AES/CBC
  * Never use older algorithm like DES (Data Encryption Standard)
  * Assume that the network layer is not secure and may potentially be hostile and eavesdropping.
  * Enforce the use of SSL/TLS for all transport channels in which sensitive information, session tokens, or other sensitive data is going to be communicated to a backend API or web service.
  * Remember to account for outside entities like third-party analytics, social networks, etc. and use their SSL versions even when an application runs a routine via the browser/webkit. Mixed SSL sessions should be avoided and may expose the user's session ID.
  * Use strong, industry standard encryption algorithms and appropriate key lengths.
  * Use certificates signed by a trusted CA provider.
  * Never allow self-signed certificates, and consider certificate pinning for security conscious applications.
  * Do not disable or ignore SSL chain verification.
  * Only establish a secure connection after verifying the identity of the endpoint server with trusted certificates in the key chain.
  * Alert users through the UI if an invalid certificate is detected.
  * Do not send sensitive data over alternate channels, such as SMS, MMS, or notifications.","Broken cryptography will result in the following:

  * Privacy Violations
  * Information Theft
  * Code Theft
  * Intellectual Property Theft
  * Reputational Damage",,M10,CWE-327,"MSTG-CRYPTO-2, MSTG-CRYPTO-3, MSTG-CRYPTO-4","MASVS-STORAGE-1, MASVS-CRYPTO-2",,,,"Art-25-GDPR, Art-32-GDPR",,,,"3.5, 3.6",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Application Debugging,Static,High,,7.7,Debug enabled within the app,"Debugging was enabled on the app which makes it easier for reverse engineers
to hook a debugger to it. This allows dumping a stack trace and accessing
debugging helper classes.","This non-compliant code example shows an app that has the `android:debuggable`
attribute set to true being accessed to reveal sensitive data.

    
    
    $ adb shell
    shell@android:/ $ run-as com.example.someapp sh
    shell@android:/data/data/com.example.someapp $ id
    uid=10060(app_60) gid=10060(app_60)
    shell@android:/data/data/com.example.someapp $ ls files/
    secret_data.txt
    shell@android:/data/data/com.example.some $ cat files/secret_data.txt
    password=GoogolPlex
    account_number=31974286
    

Clearly, with the `android:debuggable` attribute set to true, sensitive date
related to the app can be revealed to any user.","Ensure that the `android:debuggable` attribute is set to false before the app
is released:

    
    
    <application
        ...
        android:debuggable=""false"" >
        ...
    </application>
    

Note that some development environments (including Eclipse/ADT and Ant)
automatically set `android:debuggable` to true for incremental or debugging
builds but set it to false for release builds.","Application can be debugged and reverse engineers can debug and manipulate the
runtime logic of the application.",,M8,CWE-489,MSTG-CODE-2,MASVS-RESILIANCE-4,,,,"Art-25-GDPR, Art-32-GDPR",,,,,2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Weak PRNG (Pseudorandom number generator),Static,Medium,,6.1,"Activity := Lokhttp3/OkHttpClient;
An activity was found using an insecure randomization function via the Random
class in Lokhttp3/OkHttpClient;->newWebSocket(Lokhttp3/Request;
Lokhttp3/WebSocketListener;)Lokhttp3/WebSocket;. As a result, the generated
random data will be predictable and an attacker can guess or infer sensitive
information

Activity := Lcom/appknox/mfva/MainActivity$4;
An activity was found using an insecure randomization function via the
Math.random method in
Lcom/appknox/mfva/MainActivity$4;->onClick(Landroid/view/View;)V. As a result,
the generated random data will be predictable and an attacker can guess or
infer sensitive information

Activity := Lcom/appknox/mfva/MainActivity$3;
An activity was found using an insecure randomization function via the
Math.random method in
Lcom/appknox/mfva/MainActivity$3;->onClick(Landroid/view/View;)V. As a result,
the generated random data will be predictable and an attacker can guess or
infer sensitive information","Weak PRNG vulnerabilities stem from insufficiently random initializations,
improper algorithms, or inadequate entropy sources. Such vulnerabilities can
result in unauthorized access, data breaches, and compromised cryptographic
operations.","
        import java.util.Random;
    
        public class generateRandom {
            public static void main(String args[]) {
                Random rand = new Random();
                int rand_int = rand.nextInt(1000);
            }
        }
    

OR

    
    
        import java.lang.Math;
    
        public class generateRandom {
            public static void main(String[] args) {
                double randomValue = Math.random();
            }
        }
    ","
        import java.security.SecureRandom;
    
        public class generateRandom {
            public static void main(String args[]) {
                SecureRandom rand = new SecureRandom();
                int rand_int = rand.nextInt(1000);
            }
        }
    ","Weak PRNG (Pseudorandom Number Generator) vulnerabilities within Android
applications can have far-reaching business consequences. Such vulnerabilities
can lead to data breaches and unauthorized access, undermining user trust and
potentially violating regulatory requirements. Financial losses may result
from legal actions, compensations, and operational disruptions caused by
security incidents. Moreover, a compromised reputation can lead to decreased
user adoption, loss of competitive advantage, and even app removal from stores",,M10,CWE-338,MSTG-CRYPTO-6,MASVS-CRYPTO-1,,,,"Art-32-GDPR, Art-25-GDPR",,,,"6.1, 6.3",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Android Tapjacking,Static,Medium,,4.8,"Vulnerable Layout - activity_main.xml
\- The root element of the activity_main.xml does not have
filterTouchesWhenObscured set to true \- Element:

Vulnerable Layout - activity_register.xml
\- The root element of the activity_register.xml does not have
filterTouchesWhenObscured set to true \- Element:

Vulnerable Layout - activity_webview.xml
\- The root element of the activity_webview.xml does not have
filterTouchesWhenObscured set to true \- Element:

Vulnerable Layout - design_layout_snackbar_include.xml
\- The root element of the design_layout_snackbar_include.xml does not have
filterTouchesWhenObscured set to true \- Element:","Android tapjacking is a type of attack where an attacker tricks or deceives a
user into tapping on a seemingly harmless element on their Android device's
screen, while secretly performing malicious actions in the background.
Cybercriminals deploy overlay attacks to steal victims’ login credentials,
bank card details, and other confidential information.","
    <?xml version=""1.0"" encoding=""utf-8""?>
    <LinearLayout android:orientation=""vertical"" android:layout_width=""fill_parent"" android:layout_height=""fill_parent""
    xmlns:android=""http://schemas.android.com/apk/res/android"" xmlns:app=""http://schemas.android.com/apk/res-auto"">
        <Button android:id=""@id/button_calculate_checksum"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:text=""@string/button_calculate_checksum"" android:filterTouchesWhenObscured=""true""/>
        <Button android:id=""@id/button_encrypt"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:text=""@string/button_encrypt"" android:filterTouchesWhenObscured=""true""/>
    </LinearLayout>
    
    OR
    
    View rootView = getWindow().getDecorView().getRootView();
    rootView.setFilterTouchesWhenObscured(false);
    ","
    <?xml version=""1.0"" encoding=""utf-8""?>
    <LinearLayout android:orientation=""vertical"" android:layout_width=""fill_parent"" android:layout_height=""fill_parent""
    xmlns:android=""http://schemas.android.com/apk/res/android"" xmlns:app=""http://schemas.android.com/apk/res-auto"" android:filterTouchesWhenObscured=""true"">
        <Button android:id=""@id/button_calculate_checksum"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:text=""@string/button_calculate_checksum"" />
        <Button android:id=""@id/button_encrypt"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:text=""@string/button_encrypt"" />
    </LinearLayout>
    
    OR
    
    View rootView = getWindow().getDecorView().getRootView();
    rootView.setFilterTouchesWhenObscured(true);
    ","Tapjacking attacks are used to trick users into performing certain actions. A
properly executed attack can lead to loss of confidential information",,"M4, M8",CWE-1021,MSTG-PLATFORM-9,MASVS-PLATFORM-3,,,,"Art-32-GDPR, Art-25-GDPR",,,,"6.1, 6.3",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,StrandHogg Vulnerability,Static,Medium,,6.5,"The launchMode for public activity com.appknox.mfva.ExportedActivity remains
unset and hence defaults to standard, which mitigates task hijacking via
StrandHogg 1.0 and other deprecated techniques documented since 2015 while
persisting app vulnerability to StrandHogg 2.0. This vulnerability affects
Android versions 3-9, but was only patched by Google on Android 8 and 9. This
increases attack susceptibility for all users running Android 5-7.x, as well
as users running unpatched Android 8-9.x devices.

The launchMode for public activity com.appknox.mfva.RegisterActivity remains
unset and hence defaults to standard, which mitigates task hijacking via
StrandHogg 1.0 and other deprecated techniques documented since 2015 while
persisting app vulnerability to StrandHogg 2.0. This vulnerability affects
Android versions 3-9, but was only patched by Google on Android 8 and 9. This
increases attack susceptibility for all users running Android 5-7.x, as well
as users running unpatched Android 8-9.x devices.

The launchMode for public activity com.appknox.mfva.MainActivity remains unset
and hence defaults to standard, which mitigates task hijacking via StrandHogg
1.0 and other deprecated techniques documented since 2015 while persisting app
vulnerability to StrandHogg 2.0. This vulnerability affects Android versions
3-9, but was only patched by Google on Android 8 and 9. This increases attack
susceptibility for all users running Android 5-7.x, as well as users running
unpatched Android 8-9.x devices.","One or more than one public facing activities of the application is vulnerable
to StandHogg vulnerability.

In StrandHogg and regular task hijacking, malicious applications typically
deploy one of the following techniques or a selection in tandem:

  * **Task Affinity Manipulation** : The malicious application leverages two activities, M1 and M2, wherein M2.taskAffinity = com.victim.app and M2.allowTaskReparenting = true. In the eventuality that the malicious app is opened on M2, M2 would be relocated to the front and the user will interact with the malicious application once the victim application has initiated.

  * **Single Task Mode** : In the eventuality that the victim application sets launchMode to singleTask, malicious applications can leverage M2.taskAffinity = com.victim.app to hijack the victim's application task stack.

  * **Task Reparenting** : In the eventuality that the victim application sets taskReparenting to true, malicious applications can move the victim's application task to the malicious application's stack.

However, in the case of StrandHogg 2.0, all exported activities without a
launchMode of singleTask or singleInstance are affected on vulnerable Android
versions.","
    <activity android:theme=""@style/AppTheme.NoActionBar""
    android:name=""com.demo.MainActivity"" android:exported=""true""
    android:screenOrientation=""portrait""
    android:windowSoftInputMode=""adjustNothing"">
    ","
    <activity android:theme=""@style/AppTheme.NoActionBar""
    android:name=""com.demo.MainActivity"" android:exported=""true""
    android:screenOrientation=""portrait"" android:windowSoftInputMode=""adjustNothing""
    android:launchMode=""singleInstance"" android:taskAffinity="""">
    ","A malicious app could leverage this weakness to manipulate the way in which
users interact with the app. Specifically, this could be instigated by
relocating a malicious attacker-controlled activity in the screen flow of the
user, which may prove useful towards performing phishing, DoS or user-
credential capture. This issue has been verified as a known exploit leveraged
by banking malware Trojans in the past.",,,CWE-200,MSTG-PLATFORM-9,MASVS-PLATFORM-3,,,,"Art-25-GDPR, Art-32-GDPR",,,,"6.1, 6.3",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Janus Vulnerability (CVE-2017-13156),Static,Medium,,6.7,The Application is vulnerable to Janus Vulnerability (CVE-2017-13156).,"The application is signed using v1 signature scheme which makes it vulnerable
to Janus Vulnerability on unpatched Android 5.1.1 to 8.0. Please note that
apps that are dual signed with v1 and v2 or v3 are still vulnerable on devices
that does not enforce rollback protection on the specified unpatched Android
versions supporting v2 and above.",Application is signed using v1 scheme.,Sign the apk using scheme v2 and above.,"An attacker can prepend a malicious DEX file to an APK file without affecting
its signature which the Android runtime accepts as a valid update of a
legitimate earlier version of the app.",,M7,CWE-345,MSTG-RESILIENCE-3,MASVS-CODE-3,,,,"Art-25-GDPR, Art-32-GDPR",,,,"6.1, 6.3",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,External data in raw SQL queries,Static,Medium,,5.3,"execSQL is used in Lcom/appknox/mfva/DatabaseOps;->onUpgrade

execSQL is used in Lcom/appknox/mfva/DatabaseOps;->onCreate","Inclusion of input into raw SQL queries can potentially lead to a local SQL
injection vulnerability in the mobile application.

The correct approach is to use prepared SQL statements beyond user's control.","Example of an insecure code:

    
    
    db.rawQuery(""SELECT username FROM users_table WHERE id = '""+ input_id +""'"");
    db.execSQL(""SELECT username FROM users_table WHERE id = '""+ input_id +""'"");
    ","Below is an example of how to use Prepeared SQL statement:

    
    
    PreparedStatement pstmt = con.prepareStatement(""UPDATE EMPLOYEES SET SALARY = ? WHERE ID = ?"");
    pstmt.setBigDecimal(1, 153833.00)
    pstmt.setInt(2, 110592)
    ",,,M4,CWE-89,MSTG-PLATFORM-2,MASVS-CODE-4,,,,"Art-25-GDPR, Art-32-GDPR",,,,,2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,"MediaProjection: Android Service Allows Recording of Audio, Screen Activity",Static,Medium,,6.8,"The App does not protect sensitive screens from being displayed in screencasts
initiated by third-party Apps","Protect all sensitive windows within the App by enabling the `FLAG_SECURE`
flag. This flag will prevent Apps from being able to record the protected
windows. Also, the flag will prevent users from taking screenshots of these
windows (by pressing the VOLUME_DOWN and POWER buttons). As such screenshots
are stored on the SDCard by default, they are accessible to all Apps and
sensitive data may be exposed.",,"Below is an example of how to use `FLAG_SECURE` inside your activity

    
    
    public class SecureActivity extends Activity {
        @Override
        protected void onCreate(Bundle savedInstanceState) {
            super.onCreate(savedInstanceState);
    
            // Set the Secure flag for this Window
            getWindow().setFlags(LayoutParams.FLAG_SECURE, LayoutParams.FLAG_SECURE);
        }
    }
    ",,,M8,CWE-200,MSTG-STORAGE-9,MASVS-PLATFORM-3,,,,"Art-25-GDPR, Art-32-GDPR",,,,"3.1, 3.2, 3.3",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Disabled SSL CA Validation and Certificate Pinning,Static,Medium,,5.9,SSL Pinning is not implemented in the Application.,"A host or service's certificate or public key can be added to an application
at development time, or it can be added upon first encountering the
certificate or public key. The former - adding at development time - is
preferred since preloading the certificate or public key out of band usually
means the attacker cannot taint the pin.",,"Certificate Pinning can be done with these two options:

You can 1\. pin the certificate or 2\. pin the public key

If you choose public keys, you have two additional choices: \- pin the
`subjectPublicKeyInfo` or \- pin one of the concrete types such as
`RSAPublicKey` or `DSAPublicKey`.

The three choices are explained below in more detail. I would encourage you to
pin the subjectPublicKeyInfo because it has the public parameters (such as
{e,n} for an RSA public key) and contextual information such as an algorithm
and OID. The context will help you keep your bearings at times, and the figure
to the right shows the additional information available.

### Certificate

The certificate is easiest to pin. You can fetch the certificate out of band
for the website, have the IT folks email your company certificate to you, use
openssl s_client to retrieve the certificate etc. At runtime, you retrieve the
website or server's certificate in the callback. Within the callback, you
compare the retrieved certificate with the certificate embedded within the
program. If the comparison fails, then fail the method or function. There is a
downside to pinning a certificate. If the site rotates its certificate on a
regular basis, then your application would need to be updated regularly. For
example, Google rotates its certificates, so you will need to update your
application about once a month (if it depended on Google services). Even
though Google rotates its certificates, the underlying public keys (within the
certificate) remain static.

### Public Key

Public key pinning is more flexible but a little trickier due to the extra
steps necessary to extract the public key from a certificate. As with a
certificate, the program checks the extracted public key with its embedded
copy of the public key. There are two downsides to public key pinning. First,
it's harder to work with keys (versus certificates) since you must extract the
key from the certificate. Extraction is a minor inconvenience in Java and
.Net, buts it's uncomfortable in Cocoa/CocoaTouch and OpenSSL. Second, the key
is static and may violate key rotation policies.

### Hashing

While the three choices above used DER encoding, its also acceptable to use a
hash of the information. In fact, the original sample programs were written
using digested certificates and public keys. The samples were changed to allow
a programmer to inspect the objects with tools like dumpasn1 and other ASN.1
decoders.

Hashing also provides three additional benefits. First, hashing allows you to
anonymize a certificate or public key. This might be important if you
application is concerned about leaking information during decompilation and
re-engineering. Second, a digested certificate fingerprint is often available
as a native API for many libraries, so its convenient to use. Finally, an
organization might want to supply a reserve (or back-up) identity in case the
primary identity is compromised. Hashing ensures your adversaries do not see
the reserved certificate or public key in advance of its use. In fact,
Google's IETF draft websec-key-pinning uses the technique.","In the event that a user (anonymous or verified) is able to execute over-
privileged functionality, the business may experience:

  * Reputational Damage
  * Fraud
  * Information Theft",,M5,CWE-295,MSTG-NETWORK-3,MASVS-NETWORK-2,,,,"Art-25-GDPR, Art-32-GDPR",,,,"4.1, 4.2",2025-10-30 07:30:08.953149+00:00
63,MFVA,com.appknox.mfva,Android,1.1.1,8,302,Application Logs,"Static, Dynamic",Medium,,6.2,"Tag: ExportedReceiver Message:
Ljava/lang/StringBuilder;->toString()Ljava/lang/String;

Tag: redis Message: Initialising jedis...

Tag: UnprotectedReceiver Message:
Ljava/lang/StringBuilder;->toString()Ljava/lang/String;

Tag: YOLO Message: Ljava/lang/Math;->random()D",Application was found to be writing logs to the system logs,"Facebook SDK for Android contained the following code which sends Facebook
access tokens to log output in plain text format.

    
    
    Log.d(""Facebook-authorize"", ""Login Success! access_token="" + getAccessToken() + "" expires="" + getAccessExpires());
    

Here is another example. A weather report for Android sent a user's location
data to the log output as follows:

    
    
    I/MyWeatherReport( 6483): Re-use MyWeatherReport data
    I/ ( 6483): GET JSON:
    http://example.com/smart/repo_piece.cgi?arc=0&lat=26.209026&lon=127.650803&rad=50&dir=-999&lim=52&category=1000
    

If a user is using Android OS 4.0 or before, other applications with READ_LOGS
permission can obtain the user's location information without declaring
ACCESS_FINE_LOCATION permission in the manifest file.","Never use logs in production. Find all `Log.d()` and remove them.

Use exception parsers and crash-based-analytics tool capture crashes in
production so that it can be debugged","Sensitive data can inadvertently leak into the logs and may aid in further
attacks",,"M6, M9",CWE-779,MSTG-STORAGE-3,MASVS-STORAGE-2,,,,"Art-25-GDPR, Art-32-GDPR",,,,"3.2, 3.3, 3.4, 3.5",2025-10-30 07:30:08.953149+00:00
