ID    RISK     STATUS   CVSS-VECTOR  CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------   -----------  ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
6253  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_3 MSTG_6_4]           []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.032819 +0000 UTC  1
6254  Unknown  Waiting               -1         3             []     []                                  [CWE_926]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.076921 +0000 UTC  2
6255  Unknown  Waiting               -1         3             []     []                                  [CWE_489]                  [MSTG_7_2]                    []                               [MASVS_7_4]            [M8_2024]          []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.110855 +0000 UTC  3
6256  Unknown  Waiting               -1         3             []     []                                  [CWE_250]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:22.154132 +0000 UTC  4
6257  Unknown  Waiting               -1         3             []     []                                  [CWE_296]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.19949 +0000 UTC   5
6258  Unknown  Waiting               -1         3             []     []                                  [CWE_296]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.245783 +0000 UTC  6
6259  Unknown  Waiting               -1         3             []     []                                  [CWE_296]                  [MSTG_3_2 MSTG_3_3 MSTG_3_3]  []                               [MASVS_2_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.283826 +0000 UTC  7
6260  Unknown  Waiting               -1         3             []     []                                  [CWE_297]                  [MSTG_5_3]                    []                               [MASVS_5_1]            [M5_2024]          []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.336749 +0000 UTC  8
6261  Unknown  Waiting               -1         3             []     []                                  [CWE_749]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M5_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:22.394796 +0000 UTC  9
6262  Unknown  Waiting               -1         3             []     []                                  [CWE_250]                  [MSTG_6_1]                    []                               [MASVS_6_1]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:22.434956 +0000 UTC  10
6263  Unknown  Waiting               -1         3             []     []                                  [CWE_749]                  [MSTG_6_7]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-17 08:46:22.507401 +0000 UTC  11
6264  Unknown  Waiting               -1         3             []     []                                  [CWE_922]                  [MSTG_2_1]                    []                               [MASVS_1_1]            [M6_2024 M9_2024]  []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.628775 +0000 UTC  14
6265  Unknown  Waiting               -1         3             []     []                                  [CWE_319]                  [MSTG_5_1]                    []                               [MASVS_5_1]            []                 []       [164_312_e_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.720989 +0000 UTC  15
6266  Unknown  Waiting               -1         3             []     []                                  [CWE_327]                  [MSTG_3_2 MSTG_3_3 MSTG_3_4]  []                               [MASVS_1_1 MASVS_2_2]  [M10_2024]         []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-17 08:46:22.786157 +0000 UTC  16
