ID  CREATED-ON                            UPDATED-ON                            PACKAGE-NAME                              PLATFORM  FILE-COUNT
--  ----------                            ----------                            ------------                              --------  ----------
63  2025-10-14 16:26:37.701285 +0000 UTC  2025-11-04 10:53:34.448448 +0000 UTC  com.appknox.mfva                          Andriod   103
1   2025-09-29 07:42:05.461326 +0000 UTC  2025-10-16 13:58:09.555007 +0000 UTC  com.bestbuy.buyphone                      IOS       11
4   2025-09-29 08:40:52.696751 +0000 UTC  2025-10-16 13:56:24.322724 +0000 UTC  com.Plintron-Cpos-app                     IOS       4
65  2025-10-16 11:35:58.482569 +0000 UTC  2025-10-16 13:16:28.351485 +0000 UTC  com.duolingo.DuolingoMobile               IOS       11
16  2025-10-06 09:45:04.252754 +0000 UTC  2025-10-16 13:14:55.257333 +0000 UTC  com.ubercab.UberClient                    IOS       15
14  2025-10-06 08:28:20.480117 +0000 UTC  2025-10-16 13:13:17.794534 +0000 UTC  com.burbn.instagram                       IOS       13
34  2025-10-08 18:40:24.268187 +0000 UTC  2025-10-16 13:10:26.563552 +0000 UTC  air.com.rosettastone.mobile.CoursePlayer  Andriod   28
42  2025-10-09 11:26:36.351058 +0000 UTC  2025-10-16 13:01:39.545456 +0000 UTC  com.intuit.turbotax.mobile                Andriod   9
66  2025-10-16 11:50:41.821468 +0000 UTC  2025-10-16 11:50:42.017525 +0000 UTC  com.sia.krispay.iOS.stg                   IOS       1
64  2025-10-14 16:41:53.06067 +0000 UTC   2025-10-14 16:42:02.985323 +0000 UTC  com.starbucks.mystarbucks                 IOS       1
