"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Appknox CLI Automation","Authentication Module","Valid Token Authentication","0","0","1","0","0"
"Appknox CLI Automation","Authentication Module","Host URL Format Validation","0","0","1","0","0"
"Appknox CLI Automation","CI Check Module","Invalid Risk Threshold CI Check","0","0","1","0","0"
"Appknox CLI Automation","CLI Flags Module","Insecure Flag Functionality","0","0","1","0","0"
"Information Commands","","INFO-005: Handle missing project ID","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-006: Upload Same APK Twice","0","0","1","0","0"
"Appknox CLI Automation","CLI Flags Module","Host Flag Connection","0","0","1","0","0"
"Information Commands","","INFO-003: Retrieve files for valid project ID","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-003: Non-existent File Upload","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-001: Valid APK Upload","0","0","1","0","0"
"Appknox CLI Automation","Reports Module","Report Download","0","0","2","0","0"
"Appknox CLI Automation","CLI Flags Module","Access Token Flag Authentication","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Valid File ID Analyses","0","0","1","0","0"
"Appknox CLI Automation","CLI Flags Module","Help Flag Functionality","0","0","1","0","0"
"Appknox CLI Automation","CI Check Module","Medium Risk Threshold CI Check","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Valid OWASP ID Details","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Invalid Vulnerability ID Handling","0","0","1","0","0"
"Appknox CLI Automation","Authentication Module","Invalid Host Verification","0","0","1","0","0"
"Appknox CLI Automation","Reports Module","SARIF Report Generation","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-005: Missing File Path Parameter","0","0","1","0","0"
"Appknox CLI Automation","Authentication Module","Invalid Token Authentication","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-008: Upload APK with Special Characters in Filename","0","0","1","0","0"
"Appknox CLI Automation","CI Check Module","Low Risk Threshold CI Check","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Valid Vulnerability Details","0","0","1","0","0"
"Appknox CLI Automation","CI Check Module","Critical Risk Threshold CI Check","0","0","1","0","0"
"Appknox CLI Automation","CLI Flags Module","Version Flag Functionality","0","0","1","0","0"
"Appknox CLI Automation","Reports Module","Report Creation","0","0","1","0","0"
"Information Commands","","INFO-004: Handle invalid project ID","0","0","1","0","0"
"Information Commands","","INFO-002: List all projects","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Missing File ID in Analyses Command","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Invalid File ID Analyses","0","0","1","0","0"
"Appknox CLI Automation","Analyses & Vulnerability Module","Invalid OWASP ID Handling","0","0","1","0","0"
"Appknox CLI Automation","Authentication Module","Valid Host Verification","0","0","1","0","0"
"Appknox CLI Automation","Authentication Module","Missing Token Authentication","0","0","1","0","0"
"Appknox CLI Automation","CI Check Module","High Risk Threshold CI Check","0","0","1","0","0"
"Information Commands","","INFO-001: List all organizations","0","0","1","0","0"
"Appknox CLI Automation","Upload Functionality","UPLOAD-007: Invalid File Type Upload","0","0","1","0","0"
